manual_topic,sub_cluster,size,label_terms
राष्ट्रिय प्रजातन्त्र पार्टी,0,283,"२०७४, तीव्र, तसर्थ, तहक, तहम"
राष्ट्रिय प्रजातन्त्र पार्टी,1,15,"मधेस, मलाई, भाष, निर्वाचन, कर्णाल"
राष्ट्रिय प्रजातन्त्र पार्टी,2,230,"बैंक, रुपैय, प्रतिशत, करोड, सेयर"
राष्ट्रिय प्रजातन्त्र पार्टी,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
नेपाल मजदुर किसान पार्टी,0,22,"मलाई, उस्त, लाम, धेर, हिर"
नेपाल मजदुर किसान पार्टी,1,206,"बैंक, रुपैय, प्रतिशत, सेयर, करोड"
नेपाल मजदुर किसान पार्टी,2,11,"नोट, पुरान, फर्किन, प्रणाल, राष्ट्र"
भ्रष्टाचार,0,1831,"नेपाल, बैंक, प्रहर, उनल, भन्न"
भ्रष्टाचार,1,416,"२०७४, तीव्र, तहम, तामाङ, तार"
अर्थतन्त्र,0,118,"५००, त्यत, तिम, तिर, तिर्न"
अर्थतन्त्र,1,19,"कर्णाल, मधेस, मनम, फिल्म, भाष"
अर्थतन्त्र,2,229,"बैंक, रुपैय, कम्पन, प्रतिशत, करोड"
अर्थतन्त्र,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
रोजगारी,0,101,"सहकार, बैंक, नेपाल, उद्योग, हजार"
रोजगारी,1,17,"गोरख, जेसिब, एआरओ, आधिकारिक, जेसीब"
प्रविधि,0,34,"८५००, तर्फ, तत्काल, तत्कालीन, तथ्य"
प्रविधि,1,31,"टिभिएस, मोटर्स, २००, आरटिआर, अपाच"
प्रविधि,2,265,"बैंक, नेपाल, उनल, कम्पन, फिल्म"
प्रविधि,3,17,"गोरख, एआरओ, जेसिब, आधिकारिक, निर्माण"
पर्यटन,0,1379,"नेपाल, उनल, बैंक, दिन, भन्न"
पर्यटन,1,170,"२०७४, तेल, तार, ताल, तालिम"
खनिज,0,1379,"नेपाल, उनल, बैंक, फिल्म, दिन"
खनिज,1,463,"५००, त्यसैगर, तुलन, तेर, तेल"
ऊर्जा,0,179,"आयोजन, नेपाल, कम्पन, लगान, सरकार"
ऊर्जा,1,14,"५००, तामाङ, तपार्इ, तयार, तराई"
चुनाव,0,26,"कर्णाल, छोर, वर्ष, कुर, मलाई"
चुनाव,1,82,"बैंक, गीत, कम्पन, सेयर, उनल"
वन्यजन्तु,0,928,"नेपाल, उनल, भन्न, फिल्म, दिन"
वन्यजन्तु,1,14,"२०७२, तुलन, तार, ताल, तालिम"
विद्यार्थी,0,1621,"नेपाल, उनल, बैंक, भन्न, दिन"
विद्यार्थी,1,221,"२०७४, तुलन, तहक, तहम, तामाङ"
इन्टरनेट ब्यान्डविड्थ,0,52,"नेपाल, सेव, बैंक, टेलिकम, जिल्ल"
इन्टरनेट ब्यान्डविड्थ,1,16,"गोरख, एआरओ, जेसिब, निर्माण, आधिकारिक"
हिमालय ट्रेकिङ,0,33,"नेपाल, कुर, एउट, उस्त, गाउ"
हिमालय ट्रेकिङ,1,176,"बैंक, उनल, कम्पन, सेयर, नेपाल"
धार्मिक मेला,0,716,"२०७४, तेस्र, ताल, तालिम, तिन"
धार्मिक मेला,1,27,"२०७४, तेस्र, ताल, तालिम, तिन"
धार्मिक मेला,2,37,"नेपाल, मधेस, कुर, कर्णाल, एउट"
धार्मिक मेला,3,230,"बैंक, रुपैय, प्रतिशत, कम्पन, करोड"
धार्मिक मेला,4,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
खाडी रोजगारी,0,149,"बैंक, प्रतिशत, रुपैय, करोड, कम्पन"
खाडी रोजगारी,1,33,"एउट, कुर, नेपाल, कर्णाल, दिद"
रोजगार बीमा,0,33,"कर्णाल, एउट, कुर, नेपाल, गाउ"
रोजगार बीमा,1,178,"बैंक, कम्पन, रुपैय, सेयर, उनल"
रोजगार बीमा,2,11,"नोट, पुरान, फर्किन, प्रणाल, राष्ट्र"
फुटबल,0,1576,"नेपाल, खेल, उनल, गोल, दिन"
फुटबल,1,293,"२०७४, तोक, तिब्बत, तिम, तिम्र"
भलिबल,0,45,"नेपाल, कुर, खेल, एउट, गोल"
भलिबल,1,34,"बैंक, जीवन, उनल, गीत, चेल्स"
बक्सिङ,0,1015,"२०७४, तुलन, तामाङ, तार, ताल"
बक्सिङ,1,18,"खेल, गोल, नेपाल, मिनेट, क्लब"
बक्सिङ,2,175,"बैंक, रुपैय, प्रतिशत, सेयर, कम्पन"
बक्सिङ,3,11,"नोट, रुपिय, पुरान, फर्किन, प्रणाल"
बास्केटबल,0,60,"उनल, नेपाल, चलचित्र, बैंक, काठमाड"
बास्केटबल,1,44,"खेल, गोल, विकेट, नेपाल, मिनेट"
चलचित्र प्रिमियर,0,16,"२०७४, तेल, तार, ताल, तालिम"
चलचित्र प्रिमियर,1,18,"मलाई, उस्त, भाष, धेर, हिर"
चलचित्र प्रिमियर,2,163,"बैंक, रुपैय, प्रतिशत, करोड, सेयर"
चलचित्र प्रिमियर,3,11,"नोट, पुरान, फर्किन, प्रणाल, राष्ट्र"
संगीत कार्यक्रम,0,546,"२०७४, तोकिए, तिन, तिम, तिम्र"
संगीत कार्यक्रम,1,37,"कुर, मधेस, नेपाल, कर्णाल, एउट"
संगीत कार्यक्रम,2,230,"बैंक, रुपैय, प्रतिशत, करोड, सेयर"
संगीत कार्यक्रम,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
स्तम्भ लेख,0,43,"नेपाल, मधेस, कुर, एउट, भन्न"
स्तम्भ लेख,1,133,"बैंक, कम्पन, करोड, प्रतिशत, रुपैय"
गोपनीयता,0,94,"बैंक, कम्पन, उनल, गीत, वर्ष"
गोपनीयता,1,19,"खुट्ट, उस्त, दिद, लाम, गाउ"
बजार मूल्य,0,1717,"नेपाल, बैंक, कम्पन, हजार, दिन"
बजार मूल्य,1,352,"५००, ताल, तरकार, तरलत, तराई"
नयाँ परियोजना,0,34,"२०७४, तेल, तामाङ, तार, ताल"
नयाँ परियोजना,1,623,"बैंक, नेपाल, कम्पन, उनल, सरकार"
नयाँ परियोजना,2,16,"गोरख, एआरओ, जेसिब, आधिकारिक, आउटलेट"
शिक्षण प्रविधि,0,27,"नेपाल, सरसफाइ, चलचित्र, उनल, शिक्ष"
शिक्षण प्रविधि,1,18,"गोरख, जेसिब, एआरओ, आधिकारिक, निर्माण"
कृषि प्रविधि,0,156,"कृष, नेपाल, उत्पादन, जिल्ल, लगान"
कृषि प्रविधि,1,16,"गोरख, एआरओ, जेसिब, आधिकारिक, निर्माण"
वन प्रविधि,0,49,"नेपाल, वस्त, फेल्ट, दिन, कुर"
वन प्रविधि,1,16,"गोरख, जेसिब, एआरओ, आधिकारिक, जेसीब"
संस्कृति कार्यक्रम,0,26,"भाष, कर्णाल, इतिहास, नेपाल, किताब"
संस्कृति कार्यक्रम,1,77,"बैंक, गीत, उनल, कार, वर्ष"
उद्योग प्रगति,0,43,"बजार, कम्पन, धितोपत्र, जलविद्युत, सेयर"
उद्योग प्रगति,1,16,"गोरख, जेसिब, एआरओ, आधिकारिक, जेसीब"
भूकम्प उद्धार,0,16,"मधेस, कर्णाल, लाम, भाष, झडप"
भूकम्प उद्धार,1,20,"सहकार, करोड, रुपैय, सन्तुलन, कम्पन"
